gid,config
57215,default
57471,default
57472,default
57473,default
57730,default
57731,default
57732,default
57733,default
57986,default
57987,default
57988,default
57989,default
57990,default
57991,default
57992,default
58243,default
58244,default
58245,default
58246,default
58247,default
58248,default
58249,default
58250,default
58251,default
58501,default
58502,default
58503,default
58504,default
58505,default
58506,default
58507,default
58508,default
58509,default
58510,default
58758,default
58759,default
58760,default
58761,default
58762,default
58763,default
58764,default
58765,default
58766,default
58767,default
58768,default
58769,default
59016,default
59017,default
59018,default
59019,default
59020,default
59021,default
59022,default
59023,default
59024,default
59025,default
59026,default
59027,default
59028,default
59275,default
59276,default
59277,default
59278,default
59279,default
59280,default
59281,default
59282,default
59283,default
59284,default
59285,default
59286,default
59287,default
59288,default
59539,default
59540,default
59541,default
59542,default
59543,default
59544,default
59545,default
59546,default
59547,default
59548,default
59549,default
59550,default
59551,default
59552,default
59806,default
59807,default
59808,default
59809,default
59810,default
59811,default
59812,default
59813,default
59814,default
59815,default
59816,default
59817,default
59818,default
59819,default
59820,default
59821,default
60078,default
60079,default
60080,default
60081,default
60082,default
60083,default
60084,default
60085,default
60086,default
60087,default
60088,default
60089,default
60090,default
60091,default
60092,default
60093,default
60094,default
60349,default
60350,default
60351,default
60352,default
60353,default
60354,default
60355,default
60356,default
60357,default
60358,default
60359,default
60360,default
60361,default
60362,default
60363,default
60364,default
60365,default
60366,default
60367,default
60622,default
60623,default
60624,default
60625,default
60626,default
60627,default
60628,default
60629,default
60630,default
60631,default
60632,default
60633,default
60634,default
60635,default
60636,default
60637,default
60638,default
60639,default
60640,default
60641,default
60895,default
60896,default
60897,default
60898,default
60899,default
60900,default
60901,default
60902,default
60903,default
60904,default
60905,default
60906,default
60907,default
60908,default
60909,default
60910,default
60911,default
60912,default
60913,default
60914,default
60915,default
61179,default
61180,default
61181,default
61182,default
61183,default
61184,default
61185,default
61186,default
61187,default
61188,default
61189,default
61190,default
61191,default
61192,default
61193,default
61194,default
61195,default
61196,default
61197,default
61198,default
61199,default
61200,default
61340,default
61341,default
61342,default
61343,default
61344,default
61345,default
61346,default
61347,default
61348,default
61349,default
61350,default
61351,default
61352,default
61353,default
61354,default
61355,default
61356,default
61357,default
61358,default
61359,default
61360,default
61361,default
61362,default
61363,default
61364,default
61365,default
61366,default
61367,default
61368,default
61369,default
61370,default
61371,default
61372,default
61373,default
61374,default
61375,default
61376,default
61377,default
61378,default
61379,default
61380,default
61381,default
61382,default
61383,default
61384,default
61385,default
61386,default
61387,default
61388,default
61389,default
61390,default
61391,default
61392,default
61393,default
61394,default
61395,default
61396,default
61397,default
61398,default
61399,default
61400,default
61401,default
61402,default
61403,default
61404,default
61405,default
61406,default
61407,default
61408,default
61409,default
61410,default
61411,default
61469,default
61470,default
61471,default
61472,default
61473,default
61474,default
61475,default
61476,default
61477,default
61478,default
61479,default
61480,default
61481,default
61482,default
61483,default
61484,default
61485,default
61486,default
61487,default
61488,default
61489,default
61490,default
61491,default
61631,default
61632,default
61633,default
61634,default
61635,default
61636,default
61637,default
61638,default
61639,default
61640,default
61641,default
61642,default
61643,default
61644,default
61645,default
61646,default
61647,default
61648,default
61649,default
61650,default
61651,default
61652,default
61653,default
61654,default
61655,default
61656,default
61657,default
61658,default
61659,default
61660,default
61661,default
61662,default
61663,default
61664,default
61665,default
61666,default
61667,default
61668,default
61669,default
61670,default
61671,default
61672,default
61673,default
61674,default
61675,default
61676,default
61677,default
61678,default
61679,default
61680,default
61681,default
61682,default
61683,default
61684,default
61685,default
61686,default
61687,default
61688,default
61689,default
61690,default
61691,default
61692,default
61693,default
61694,default
61695,default
61696,default
61697,default
61698,default
61699,default
61700,default
61701,default
61702,default
61703,default
61704,default
61705,default
61762,default
61763,default
61764,default
61765,default
61766,default
61767,default
61768,default
61769,default
61770,default
61771,default
61772,default
61773,default
61774,default
61775,default
61776,default
61777,default
61778,default
61779,default
61780,default
61781,default
61782,default
61783,default
61784,default
61785,default
61924,default
61925,default
61926,default
61927,default
61928,default
61929,default
61930,default
61931,default
61932,default
61933,default
61934,default
61935,default
61936,default
61937,default
61938,default
61939,default
61940,default
61941,default
61942,default
61943,default
61944,default
61945,default
61946,default
61947,default
61948,default
61949,default
61950,default
61951,default
61952,default
61953,default
61954,default
61955,default
61956,default
61957,default
61958,default
61959,default
61960,default
61961,default
61962,default
61963,default
61964,default
61965,default
61966,default
61967,default
61968,default
61969,default
61970,default
61971,default
61972,default
61973,default
61974,default
61975,default
61976,default
61977,default
61978,default
61979,default
61980,default
61981,default
61982,default
61983,default
61984,default
61985,default
61986,default
61987,default
61988,default
61989,default
61990,default
61991,default
61992,default
61993,default
61994,default
61995,default
61996,default
61997,default
61998,default
61999,default
62000,default
62001,default
62055,default
62056,default
62057,default
62058,default
62059,default
62060,default
62061,default
62062,default
62063,default
62064,default
62065,default
62066,default
62067,default
62068,default
62069,default
62070,default
62071,default
62072,default
62073,default
62074,default
62075,default
62076,default
62077,default
62078,default
62079,default
62080,default
62081,default
62218,default
62219,default
62220,default
62221,default
62222,default
62223,default
62224,default
62225,default
62226,default
62227,default
62228,default
62229,default
62230,default
62231,default
62232,default
62233,default
62234,default
62235,default
62236,default
62237,default
62238,default
62239,default
62240,default
62241,default
62242,default
62243,default
62244,default
62245,default
62246,default
62247,default
62248,default
62249,default
62250,default
62251,default
62252,default
62253,default
62254,default
62255,default
62256,default
62257,default
62258,default
62259,default
62260,default
62261,default
62262,default
62263,default
62264,default
62265,default
62266,default
62267,default
62268,default
62269,default
62270,default
62271,default
62272,default
62273,default
62274,default
62275,default
62276,default
62277,default
62278,default
62279,default
62280,default
62281,default
62282,default
62283,default
62284,default
62285,default
62286,default
62287,default
62288,default
62289,default
62290,default
62291,default
62292,default
62293,default
62294,default
62295,default
62296,default
62297,default
62298,default
62350,default
62351,default
62352,default
62353,default
62354,default
62355,default
62356,default
62357,default
62358,default
62359,default
62360,default
62361,default
62362,default
62363,default
62364,default
62365,default
62366,default
62367,default
62368,default
62369,default
62370,default
62371,default
62372,default
62373,default
62374,default
62375,default
62376,default
62377,default
62378,default
62512,default
62513,default
62514,default
62515,default
62516,default
62517,default
62518,default
62519,default
62520,default
62521,default
62522,default
62523,default
62524,default
62525,default
62526,default
62527,default
62528,default
62529,default
62530,default
62531,default
62532,default
62533,default
62534,default
62535,default
62536,default
62537,default
62538,default
62539,default
62540,default
62541,default
62542,default
62543,default
62544,default
62545,default
62546,default
62547,default
62548,default
62549,default
62550,default
62551,default
62552,default
62553,default
62554,default
62555,default
62556,default
62557,default
62558,default
62559,default
62560,default
62561,default
62562,default
62563,default
62564,default
62565,default
62566,default
62567,default
62568,default
62569,default
62570,default
62571,default
62572,default
62573,default
62574,default
62575,default
62576,default
62577,default
62578,default
62579,default
62580,default
62581,default
62582,default
62583,default
62584,default
62585,default
62586,default
62587,default
62588,default
62589,default
62590,default
62591,default
62592,default
62593,default
62594,default
62595,default
62646,default
62647,default
62648,default
62649,default
62650,default
62651,default
62652,default
62653,default
62654,default
62655,default
62656,default
62657,default
62658,default
62659,default
62660,default
62661,default
62662,default
62663,default
62664,default
62665,default
62666,default
62667,default
62668,default
62669,default
62670,default
62671,default
62672,default
62673,default
62674,default
62675,default
62807,default
62808,default
62809,default
62810,default
62811,default
62812,default
62813,default
62814,default
62815,default
62816,default
62817,default
62818,default
62819,default
62820,default
62821,default
62822,default
62823,default
62824,default
62825,default
62826,default
62827,default
62828,default
62829,default
62830,default
62831,default
62832,default
62833,default
62834,default
62835,default
62836,default
62837,default
62838,default
62839,default
62840,default
62841,default
62842,default
62843,default
62844,default
62845,default
62846,default
62847,default
62848,default
62849,default
62850,default
62851,default
62852,default
62853,default
62854,default
62855,default
62856,default
62857,default
62858,default
62859,default
62860,default
62861,default
62862,default
62863,default
62864,default
62865,default
62866,default
62867,default
62868,default
62869,default
62870,default
62871,default
62872,default
62873,default
62874,default
62875,default
62876,default
62877,default
62878,default
62879,default
62880,default
62881,default
62882,default
62883,default
62884,default
62885,default
62886,default
62887,default
62888,default
62889,default
62890,default
62891,default
62892,default
62893,default
62943,default
62944,default
62945,default
62946,default
62947,default
62948,default
62949,default
62950,default
62951,default
62952,default
62953,default
62954,default
62955,default
62956,default
62957,default
62958,default
62959,default
62960,default
62961,default
62962,default
62963,default
62964,default
62965,default
62966,default
62967,default
62968,default
62969,default
62970,default
62971,default
62972,default
62973,default
63101,default
63102,default
63103,default
63104,default
63105,default
63106,default
63107,default
63108,default
63109,default
63110,default
63111,default
63112,default
63113,default
63114,default
63115,default
63116,default
63117,default
63118,default
63119,default
63120,default
63121,default
63122,default
63123,default
63124,default
63125,default
63126,default
63127,default
63128,default
63129,default
63130,default
63131,default
63132,default
63133,default
63134,default
63135,default
63136,default
63137,default
63138,default
63139,default
63140,default
63141,default
63142,default
63143,default
63144,default
63145,default
63146,default
63147,default
63148,default
63149,default
63150,default
63151,default
63152,default
63153,default
63154,default
63155,default
63156,default
63157,default
63158,default
63159,default
63160,default
63161,default
63162,default
63163,default
63164,default
63165,default
63166,default
63167,default
63168,default
63169,default
63170,default
63171,default
63172,default
63173,default
63174,default
63175,default
63176,default
63177,default
63178,default
63179,default
63180,default
63181,default
63182,default
63183,default
63184,default
63185,default
63186,default
63187,default
63188,default
63189,default
63190,default
63191,default
63240,default
63241,default
63242,default
63243,default
63244,default
63245,default
63246,default
63247,default
